265973,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,601,Player selects gender,Avatar Creation,23S,23,NA,NA,gender selected,0,NA,Session_1_eventLog_6427027.log,Other
265974,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,600,Player selects age,Avatar Creation,25S,25,NA,NA,age selected,1,NA,Session_1_eventLog_6427027.log,Other
265975,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,602,Player commits to age and gender,Avatar Creation,26S,26,NA,NA,"age selected, gender selected","1,0",NA,Session_1_eventLog_6427027.log,Other
265976,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,603,Player selects avatar,Avatar Creation,32S,32,NA,NA,Avatar id,1,NA,Session_1_eventLog_6427027.log,Other
265977,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,604,Player commits to avatar and name,Avatar Creation,39S,39,NA,NA,"Avatar id, chosen name","1,jalen",NA,Session_1_eventLog_6427027.log,Other
265978,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,605,Player exits avatar creator,Avatar Creation,42S,42,NA,NA,no_data,NA,NA,Session_1_eventLog_6427027.log,Other
265979,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 0S,60,NA,NA,"startscan_x,startscan_y","799,513",NA,Session_1_eventLog_6427027.log,Challenge Stack
265980,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 0S,60,NA,NA,"endscan_x,endscan_y","799,513",NA,Session_1_eventLog_6427027.log,Challenge Stack
265981,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 3S,63,NA,NA,"startscan_x,startscan_y","812,485",NA,Session_1_eventLog_6427027.log,Challenge Stack
265982,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,207,Player panned Scene,Challenge Stack,1M 5S,65,12,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,0,-690",NA,Session_1_eventLog_6427027.log,Challenge Stack
265983,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 5S,65,NA,NA,"endscan_x,endscan_y","1,525,364",NA,Session_1_eventLog_6427027.log,Challenge Stack
265984,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 11S,71,NA,NA,Sense id (newly selected sense),1,1,Session_1_eventLog_6427027.log,Challenge Stack
265985,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 11S,71,NA,NA,Sense id (newly selected sense),0,0,Session_1_eventLog_6427027.log,Challenge Stack
265986,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 12S,72,NA,NA,Sense id (newly selected sense),2,2,Session_1_eventLog_6427027.log,Challenge Stack
265987,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 15S,75,NA,NA,Sense id (newly selected sense),1,1,Session_1_eventLog_6427027.log,Challenge Stack
265988,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 16S,76,NA,NA,Sense id (newly selected sense),2,2,Session_1_eventLog_6427027.log,Challenge Stack
265989,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 17S,77,NA,NA,"startscan_x,startscan_y","1,506,463",NA,Session_1_eventLog_6427027.log,Challenge Stack
265990,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 19S,79,NA,NA,"endscan_x,endscan_y","1,155,232",NA,Session_1_eventLog_6427027.log,Challenge Stack
265991,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,213,Player touches Object,Challenge Stack,1M 19S,79,12,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_family_cauc_a_G0a0,true",NA,Session_1_eventLog_6427027.log,Challenge Stack
265992,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 23S,83,NA,NA,"startscan_x,startscan_y","1,431,381",NA,Session_1_eventLog_6427027.log,Challenge Stack
265993,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 24S,84,NA,NA,"endscan_x,endscan_y","1,229,460",NA,Session_1_eventLog_6427027.log,Challenge Stack
265994,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,1M 25S,85,NA,NA,Sense id (newly selected sense),1,1,Session_1_eventLog_6427027.log,Challenge Stack
265995,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 26S,86,NA,NA,"startscan_x,startscan_y","1,390,571",NA,Session_1_eventLog_6427027.log,Challenge Stack
265996,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 27S,87,NA,NA,"endscan_x,endscan_y","1,222,456",NA,Session_1_eventLog_6427027.log,Challenge Stack
265997,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,213,Player touches Object,Challenge Stack,1M 27S,87,12,Welcome to PlayForward,"Stack id, Object id, result (Was player able to activate object?)","12,c_friends_G0a0,true",NA,Session_1_eventLog_6427027.log,Challenge Stack
265998,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,1M 54S,114,NA,NA,"startscan_x,startscan_y","766,512",NA,Session_1_eventLog_6427027.log,Challenge Stack
265999,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,1M 55S,115,NA,NA,"endscan_x,endscan_y","744,493",NA,Session_1_eventLog_6427027.log,Challenge Stack
266000,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,212,Player switches to a Sense,Challenge Stack,2M 7S,127,NA,NA,Sense id (newly selected sense),2,2,Session_1_eventLog_6427027.log,Challenge Stack
266001,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,2M 18S,138,NA,NA,"startscan_x,startscan_y","730,390",NA,Session_1_eventLog_6427027.log,Challenge Stack
266002,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,2M 18S,138,NA,NA,"endscan_x,endscan_y","590,431",NA,Session_1_eventLog_6427027.log,Challenge Stack
266003,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,210,Player begins to scan Scene using Sense,Challenge Stack,2M 19S,139,NA,NA,"startscan_x,startscan_y","734,379",NA,Session_1_eventLog_6427027.log,Challenge Stack
266004,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,207,Player panned Scene,Challenge Stack,2M 20S,140,12,Welcome to PlayForward,"Stack id, starting scene left, ending scene left","12,0,-270",NA,Session_1_eventLog_6427027.log,Challenge Stack
266005,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,205,Player finds object,Challenge Stack,2M 21S,141,12,Welcome to PlayForward,"Stack id, Object id, locked/unlocked status (true/false), first time unlocked (true/false)","12,c_family_cauc_a_G0a1N,false,false",NA,Session_1_eventLog_6427027.log,Challenge Stack
266006,6427027,3561,3561 5112 Fall 2013,Session 1,10/21/2013,211,Player ends scan,Challenge Stack,2M 21S,141,NA,NA,"endscan_x,endscan_y","1,089,213",NA,Session_1_eventLog_6427027.log,Challenge Stack
